ID,Track,Station,CSV
1,Aqueduct Racetrack (NYRA),GHCND:USW00094789,2066204
2,Batavia Downs,GHCND:USC00300443,2066959
3,Belmont Park (NYRA),GHCND:US1NYNS0007,2066969
4,Buffalo Raceway,GHCND:US1NYER0039,2066976
5,Finger Lakes Gaming & Racetrack,GHCND:USC00308839,2066981
6,Monticello Raceway & Mighty M Gaming,GHCND:USC00306774,2066988
7,Saratoga Racecourse (NYRA),GHCND:US1NYSR0004,2066993
8,Saratoga Gaming & Raceway,GHCND:US1NYSR0004,2066993
9,Tioga Downs,GHCND:USC00309047,2066998
10,Vernon Downs,GHCND:USC00309248,2067009
11,Yonkers Raceway,GHCND:USW00014732,2067013